review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R1YW6Y5TI0RYLS,4,34,45,Y,
R17L11BRP76FQI,3,174,181,Y,
R3TLUV5MGW9HDN,5,69,89,Y,
RJ0IFWUW301M2,2,35,36,Y,
R1TGFS5CP09XQL,1,21,22,Y,
ROD9DFX10RXBZ,3,26,29,Y,
R2T90B392OZJLA,3,45,55,Y,
R1CBW4Y4LBQAIG,5,53,58,Y,
RZC721M0G7OAB,4,33,36,Y,
R3MLCX6DJ5UFNE,4,41,42,Y,
R2KO2G92KZ9KDI,5,126,136,Y,
R13LUS1ZN177BF,4,39,44,Y,
R10HWSTDEHHH0N,3,21,32,Y,
RWIN7ZCWWSN3E,5,251,254,Y,
R13QZ5Z3QRSF4B,4,37,38,Y,
R2NCY8MWMI2TW1,3,171,190,Y,
R390SNBNDPOTYD,5,24,25,Y,
R34M1JUSCKKOV4,4,21,22,Y,
R1NWEMA4MUD194,4,46,46,Y,
RPU25DXIYFHZ6,3,39,45,Y,
RMGAFFN0FSI7N,5,16,25,Y,
RCCUVWBL73XKT,5,150,168,Y,
R8SDJRSH4UEVV,4,374,399,Y,
R3UUTQAO7BKMYT,5,41,53,Y,
RHO6BQN9B8B49,4,35,46,Y,
R12TZ6074X16OY,4,35,39,Y,
R848GEXRAZJ65,5,34,49,Y,
R1ZMFYDQ8M3Z08,5,23,31,Y,
RWQDJ5XP7RAPB,5,216,225,Y,
R2X9JVIM48QJFZ,4,19,21,Y,
R2NBUVM985NFTP,3,33,37,Y,
R3DQSCW8AEGBND,4,87,93,Y,
R3VN12I1UT680X,3,44,56,Y,
RRWJ22T1A3NOO,2,69,92,Y,
R2URR0X8K87S79,2,83,86,Y,
R37L3OKUEJAGXD,5,171,175,Y,
R2JYJG2A9IQXJR,3,35,41,Y,
R2W9XVI03V22CO,3,30,32,Y,
R2JCRPRHUDKM46,5,28,36,Y,
R3G5G5HYIW6RKZ,5,392,401,Y,
R1PLJ4001ORMNX,5,114,132,Y,
RVIT78P0BVN37,5,58,65,Y,
R283V47LOT4AVU,3,53,67,Y,
RTKLDAUPUQS0A,4,58,63,Y,
R2UHX3MCT9BXUR,4,42,51,Y,
RY5JV171Y4X3M,5,16,20,Y,
R1YPUYP0PLDS2M,3,18,22,Y,
R3V1EXNF2MNSG6,5,34,49,Y,
R2T0LLLLA8FDES,5,24,33,Y,
R3TLENXMKO7D3W,2,17,23,Y,
R40KRXMBOR3Y7,2,30,43,Y,
RCXDZ2ALS4CSB,4,93,101,Y,
R18BW7F5Q61BIN,2,133,147,Y,
R1BDPO6ZTQZSIF,4,94,116,Y,
R1I943LCR9S4N1,5,21,31,Y,
R1Y2U7JDZXINHA,3,32,41,Y,
RLRDXEIYSOFOU,4,34,35,Y,
R3MXFVVD5VTLP8,4,19,22,Y,
R2PH29E7EQECTF,4,23,25,Y,
R1YJHE4YFMD5TV,5,17,22,Y,
RS2414NZ4L8EF,4,28,31,Y,
R38X88GZFEMDKF,4,67,76,Y,
R3P4LCRYJF31HO,5,332,349,Y,
R1SMXWHDZJ0AJF,4,90,101,Y,
R3OY8HEAM5QI8I,4,17,21,Y,
RK6HKIRL8KXBN,4,27,38,Y,
R3A02UJM3C57XA,2,16,21,Y,
R1YV9PSNC8598B,3,25,26,Y,
R35FC70RO2K1VV,5,24,26,Y,
RUTL1QHE4IDU,5,41,46,Y,
R1WND3GMZQOIAC,5,119,131,Y,
RQEMPLJ0QIZB1,3,34,37,Y,
R1ECJGNUAXRJTB,4,81,90,Y,
R1ND0K4NI1QAZO,5,30,32,Y,
R1SPKOSVCWVTKD,5,25,26,Y,
R2QUCMGLLNYN2M,2,37,38,Y,
REMNCTRA5B7C,4,105,109,Y,
R3G32NBYG0RJX8,5,37,38,Y,
ROU8AVTB5XO5I,5,28,32,Y,
R2L6QXN07FYVD2,4,384,390,Y,
RWG4PJOEI4H2K,2,54,60,Y,
RJBXINEUK1KP,3,18,27,Y,
R3VP2CYV19ZK27,5,79,86,Y,
R1TUZFYLTFU9V5,4,72,74,Y,
R36IAIHBLQWJ0T,4,41,43,Y,
R1DJLOEPM0CL7L,4,53,55,Y,
R1FHSAA7715L1P,4,252,303,Y,
R4K4ZTU4F3MS4,3,18,21,Y,
R1P87C14GUXAUZ,4,89,93,Y,
R23BB8V9127JTF,5,18,23,Y,
R3VJSL431I8H7F,5,128,136,Y,
RE01I48RWQK28,2,20,21,Y,
R28P21Q07PGB46,5,123,129,Y,
R97Q1O2KO9XAT,5,21,23,Y,
R1UISGVWM8ZLD8,5,22,25,Y,
R2SX7C4NN58F6A,4,18,22,Y,
R1YI8XMGZH6FAG,5,30,34,Y,
R19ML2DSIHN787,5,22,23,Y,
RQ8X68G8TET0A,4,26,26,Y,
R3JJRW8R0P30IU,3,108,127,Y,
RT5GP7MX076JI,4,284,292,Y,
R23I7R7T6WE0FB,5,34,35,Y,
R1QW5BEGPES4XG,1,69,71,Y,
R1T36KTG6O5GT7,5,26,30,Y,
R2UI4Y6E6TJ9OH,1,149,176,Y,
R3JK90V5D7IN1K,3,18,22,Y,
R1EE4YM96ZS75U,5,31,32,Y,
R9PE24JMPK5M3,5,35,41,Y,
R1BLB6B89ENTZ3,4,37,41,Y,
R3BKCRLFDNEBBB,4,161,161,Y,
RAG6F5SXSZI8I,4,37,38,Y,
R1VJC6LHJ4JVQM,3,228,242,Y,
R5QBKB4AFZDRU,4,602,608,Y,
RFFBMMET74TBB,5,27,30,Y,
R2W7EXQ1IVMI4D,4,46,54,Y,
R3BCZUUYFWXKM5,3,54,64,Y,
R19G60JWE86BRS,3,31,35,Y,
R36L3YS2VNQUAB,4,163,175,Y,
R1PSNB760HL99L,3,205,216,Y,
